aar;Afar;afar
abk;Abkhazian;abkhaze
ace;Achinese;aceh
ach;Acoli;acoli
ada;Adangme;adangme
ady;"Adyghe; Adygei";adyghé
afa;Afro-Asiatic languages;afro-asiatiques, langues
afh;Afrihili;afrihili
afr;Afrikaans;afrikaans
ain;Ainu;aïnou
aka;Akan;akan
akk;Akkadian;akkadien
sqi;Albanian;albanais
ale;Aleut;aléoute
alg;Algonquian languages;algonquines, langues
alt;Southern Altai;altai du Sud
amh;Amharic;amharique
ang;English, Old (ca.450-1100);anglo-saxon (ca.450-1100)
anp;Angika;angika
apa;Apache languages;apaches, langues
ara;Arabic;arabe
arc;"Official Aramaic (700-300 BCE); Imperial Aramaic (700-300 BCE)";araméen d'empire (700-300 BCE)
arg;Aragonese;aragonais
hye;Armenian;arménien
arn;"Mapudungun; Mapuche";"mapudungun; mapuche; mapuce"
arp;Arapaho;arapaho
art;Artificial languages;artificielles, langues
arw;Arawak;arawak
asm;Assamese;assamais
ast;"Asturian; Bable; Leonese; Asturleonese";"asturien; bable; léonais; asturoléonais"
ath;Athapascan languages;athapascanes, langues
aus;Australian languages;australiennes, langues
ava;Avaric;avar
ave;Avestan;avestique
awa;Awadhi;awadhi
aym;Aymara;aymara
aze;Azerbaijani;azéri
bad;Banda languages;banda, langues
bai;Bamileke languages;bamiléké, langues
bak;Bashkir;bachkir
bal;Baluchi;baloutchi
bam;Bambara;bambara
ban;Balinese;balinais
eus;Basque;basque
bas;Basa;basa
bat;Baltic languages;baltes, langues
bej;"Beja; Bedawiyet";bedja
bel;Belarusian;biélorusse
bem;Bemba;bemba
ben;Bengali;bengali
ber;Berber languages;berbères, langues
bho;Bhojpuri;bhojpuri
bih;Bihari languages;langues biharis
bik;Bikol;bikol
bin;"Bini; Edo";"bini; edo"
bis;Bislama;bichlamar
bla;Siksika;blackfoot
bnt;Bantu languages;bantou, langues
bod;Tibetan;tibétain
bos;Bosnian;bosniaque
bra;Braj;braj
bre;Breton;breton
btk;Batak languages;batak, langues
bua;Buriat;bouriate
bug;Buginese;bugi
bul;Bulgarian;bulgare
mya;Burmese;birman
byn;"Blin; Bilin";"blin; bilen"
cad;Caddo;caddo
cai;Central American Indian languages;amérindiennes de l'Amérique centrale,  langues
car;Galibi Carib;"karib; galibi; carib"
cat;"Catalan; Valencian";"catalan; valencien"
cau;Caucasian languages;caucasiennes, langues
ceb;Cebuano;cebuano
cel;Celtic languages;"celtiques, langues; celtes, langues"
ces;Czech;tchèque
cha;Chamorro;chamorro
chb;Chibcha;chibcha
che;Chechen;tchétchène
chg;Chagatai;djaghataï
zho;Chinese;chinois
chk;Chuukese;chuuk
chm;Mari;mari
chn;Chinook jargon;chinook, jargon
cho;Choctaw;choctaw
chp;"Chipewyan; Dene Suline";chipewyan
chr;Cherokee;cherokee
chu;"Church Slavic; Old Slavonic; Church Slavonic; Old Bulgarian; Old Church Slavonic";"slavon d'église; vieux slave; slavon liturgique; vieux bulgare"
chv;Chuvash;tchouvache
chy;Cheyenne;cheyenne
cmc;Chamic languages;chames, langues
cop;Coptic;copte
cor;Cornish;cornique
cos;Corsican;corse
cpe;Creoles and pidgins, English based;créoles et pidgins basés sur l'anglais
cpf;Creoles and pidgins, French-based;créoles et pidgins basés sur le français
cpp;Creoles and pidgins, Portuguese-based;créoles et pidgins basés sur le portugais
cre;Cree;cree
crh;"Crimean Tatar; Crimean Turkish";tatar de Crimé
crp;Creoles and pidgins;créoles et pidgins
csb;Kashubian;kachoube
cus;Cushitic languages;couchitiques,  langues
cym;Welsh;gallois
dak;Dakota;dakota
dan;Danish;danois
dar;Dargwa;dargwa
day;Land Dayak languages;dayak, langues
del;Delaware;delaware
den;Slave (Athapascan);esclave (athapascan)
deu;German;allemand
dgr;Dogrib;dogrib
din;Dinka;dinka
div;"Divehi; Dhivehi; Maldivian";maldivien
doi;Dogri;dogri
dra;Dravidian languages;dravidiennes,  langues
dsb;Lower Sorbian;bas-sorabe
dua;Duala;douala
dum;Dutch, Middle (ca.1050-1350);néerlandais moyen (ca. 1050-1350)
nld;"Dutch; Flemish";"néerlandais; flamand"
dyu;Dyula;dioula
dzo;Dzongkha;dzongkha
efi;Efik;efik
egy;Egyptian (Ancient);égyptien
eka;Ekajuk;ekajuk
ell;Greek, Modern (1453-);grec moderne (après 1453)
elx;Elamite;élamite
eng;English;anglais
enm;English, Middle (1100-1500);anglais moyen (1100-1500)
epo;Esperanto;espéranto
est;Estonian;estonien
ewe;Ewe;éwé
ewo;Ewondo;éwondo
fan;Fang;fang
fao;Faroese;féroïen
fas;Persian;persan
fat;Fanti;fanti
fij;Fijian;fidjien
fil;"Filipino; Pilipino";"filipino; pilipino"
fin;Finnish;finnois
fiu;Finno-Ugrian languages;finno-ougriennes,  langues
fon;Fon;fon
fra;French;français
frm;French, Middle (ca.1400-1600);français moyen (1400-1600)
fro;French, Old (842-ca.1400);français ancien (842-ca.1400)
frr;Northern Frisian;frison septentrional
frs;Eastern Frisian;frison oriental
fry;Western Frisian;frison occidental
ful;Fulah;peul
fur;Friulian;frioulan
gaa;Ga;ga
gay;Gayo;gayo
gba;Gbaya;gbaya
gem;Germanic languages;germaniques, langues
kat;Georgian;géorgien
gez;Geez;guèze
gil;Gilbertese;kiribati
gla;"Gaelic; Scottish Gaelic";"gaélique; gaélique écossais"
gle;Irish;irlandais
glg;Galician;galicien
glv;Manx;"manx; mannois"
gmh;German, Middle High (ca.1050-1500);allemand, moyen haut (ca. 1050-1500)
goh;German, Old High (ca.750-1050);allemand, vieux haut (ca. 750-1050)
gon;Gondi;gond
gor;Gorontalo;gorontalo
got;Gothic;gothique
grb;Grebo;grebo
grc;Greek, Ancient (to 1453);grec ancien (jusqu'à 1453)
grn;Guarani;guarani
gsw;"Swiss German; Alemannic; Alsatian";"suisse alémanique; alémanique; alsacien"
guj;Gujarati;goudjrati
gwi;Gwich'in;gwich'in
hai;Haida;haida
hat;"Haitian; Haitian Creole";"haïtien; créole haïtien"
hau;Hausa;haoussa
haw;Hawaiian;hawaïen
heb;Hebrew;hébreu
her;Herero;herero
hil;Hiligaynon;hiligaynon
him;"Himachali languages; Western Pahari languages";"langues himachalis; langues paharis occidentales"
hin;Hindi;hindi
hit;Hittite;hittite
hmn;"Hmong; Mong";hmong
hmo;Hiri Motu;hiri motu
hrv;Croatian;croate
hsb;Upper Sorbian;haut-sorabe
hun;Hungarian;hongrois
hup;Hupa;hupa
iba;Iban;iban
ibo;Igbo;igbo
isl;Icelandic;islandais
ido;Ido;ido
iii;"Sichuan Yi; Nuosu";yi de Sichuan
ijo;Ijo languages;ijo, langues
iku;Inuktitut;inuktitut
ile;"Interlingue; Occidental";interlingue
ilo;Iloko;ilocano
ina;Interlingua (International Auxiliary Language Association);interlingua (langue auxiliaire internationale)
inc;Indic languages;indo-aryennes, langues
ind;Indonesian;indonésien
ine;Indo-European languages;indo-européennes, langues
inh;Ingush;ingouche
ipk;Inupiaq;inupiaq
ira;Iranian languages;iraniennes, langues
iro;Iroquoian languages;iroquoises, langues
ita;Italian;italien
jav;Javanese;javanais
jbo;Lojban;lojban
jpn;Japanese;japonais
jpr;Judeo-Persian;judéo-persan
jrb;Judeo-Arabic;judéo-arabe
kaa;Kara-Kalpak;karakalpak
kab;Kabyle;kabyle
kac;"Kachin; Jingpho";"kachin; jingpho"
kal;"Kalaallisut; Greenlandic";groenlandais
kam;Kamba;kamba
kan;Kannada;kannada
kar;Karen languages;karen, langues
kas;Kashmiri;kashmiri
kau;Kanuri;kanouri
kaw;Kawi;kawi
kaz;Kazakh;kazakh
kbd;Kabardian;kabardien
kha;Khasi;khasi
khi;Khoisan languages;khoïsan, langues
khm;Central Khmer;khmer central
kho;"Khotanese; Sakan";"khotanais; sakan"
kik;"Kikuyu; Gikuyu";kikuyu
kin;Kinyarwanda;rwanda
kir;"Kirghiz; Kyrgyz";kirghiz
kmb;Kimbundu;kimbundu
kok;Konkani;konkani
kom;Komi;kom
kon;Kongo;kongo
kor;Korean;coréen
kos;Kosraean;kosrae
kpe;Kpelle;kpellé
krc;Karachay-Balkar;karatchai balkar
krl;Karelian;carélien
kro;Kru languages;krou, langues
kru;Kurukh;kurukh
kua;"Kuanyama; Kwanyama";"kuanyama; kwanyama"
kum;Kumyk;koumyk
kur;Kurdish;kurde
kut;Kutenai;kutenai
lad;Ladino;judéo-espagnol
lah;Lahnda;lahnda
lam;Lamba;lamba
lao;Lao;lao
lat;Latin;latin
lav;Latvian;letton
lez;Lezghian;lezghien
lim;"Limburgan; Limburger; Limburgish";limbourgeois
lin;Lingala;lingala
lit;Lithuanian;lituanien
lol;Mongo;mongo
loz;Lozi;lozi
ltz;"Luxembourgish; Letzeburgesch";luxembourgeois
lua;Luba-Lulua;luba-lulua
lub;Luba-Katanga;luba-katanga
lug;Ganda;ganda
lui;Luiseno;luiseno
lun;Lunda;lunda
luo;Luo (Kenya and Tanzania);luo (Kenya et Tanzanie)
lus;Lushai;lushai
mkd;Macedonian;macédonien
mad;Madurese;madourais
mag;Magahi;magahi
mah;Marshallese;marshall
mai;Maithili;maithili
mak;Makasar;makassar
mal;Malayalam;malayalam
man;Mandingo;mandingue
mri;Maori;maori
map;Austronesian languages;austronésiennes, langues
mar;Marathi;marathe
mas;Masai;massaï
msa;Malay;malais
mdf;Moksha;moksa
mdr;Mandar;mandar
men;Mende;mendé
mga;Irish, Middle (900-1200);irlandais moyen (900-1200)
mic;"Mi'kmaq; Micmac";"mi'kmaq; micmac"
min;Minangkabau;minangkabau
mis;Uncoded languages;langues non codées
mkh;Mon-Khmer languages;môn-khmer, langues
mlg;Malagasy;malgache
mlt;Maltese;maltais
mnc;Manchu;mandchou
mni;Manipuri;manipuri
mno;Manobo languages;manobo, langues
moh;Mohawk;mohawk
mon;Mongolian;mongol
mos;Mossi;moré
mul;Multiple languages;multilingue
mun;Munda languages;mounda, langues
mus;Creek;muskogee
mwl;Mirandese;mirandais
mwr;Marwari;marvari
myn;Mayan languages;maya, langues
myv;Erzya;erza
nah;Nahuatl languages;nahuatl, langues
nai;North American Indian languages;nord-amérindiennes, langues
nap;Neapolitan;napolitain
nau;Nauru;nauruan
nav;"Navajo; Navaho";navaho
nbl;"Ndebele, South; South Ndebele";ndébélé du Sud
nde;"Ndebele, North; North Ndebele";ndébélé du Nord
ndo;Ndonga;ndonga
nds;"Low German; Low Saxon; German, Low; Saxon, Low";"bas allemand; bas saxon; allemand, bas; saxon, bas"
nep;Nepali;népalais
new;"Nepal Bhasa; Newari";"nepal bhasa; newari"
nia;Nias;nias
nic;Niger-Kordofanian languages;nigéro-kordofaniennes, langues
niu;Niuean;niué
nno;"Norwegian Nynorsk; Nynorsk, Norwegian";"norvégien nynorsk; nynorsk, norvégien"
nob;"Bokmål, Norwegian; Norwegian Bokmål";norvégien bokmål
nog;Nogai;"nogaï; nogay"
non;Norse, Old;norrois, vieux
nor;Norwegian;norvégien
nqo;N'Ko;n'ko
nso;"Pedi; Sepedi; Northern Sotho";"pedi; sepedi; sotho du Nord"
nub;Nubian languages;nubiennes, langues
nwc;"Classical Newari; Old Newari; Classical Nepal Bhasa";newari classique
nya;"Chichewa; Chewa; Nyanja";"chichewa; chewa; nyanja"
nym;Nyamwezi;nyamwezi
nyn;Nyankole;nyankolé
nyo;Nyoro;nyoro
nzi;Nzima;nzema
oci;Occitan (post 1500);occitan (après 1500)
oji;Ojibwa;ojibwa
ori;Oriya;oriya
orm;Oromo;galla
osa;Osage;osage
oss;"Ossetian; Ossetic";ossète
ota;Turkish, Ottoman (1500-1928);turc ottoman (1500-1928)
oto;Otomian languages;otomi, langues
paa;Papuan languages;papoues, langues
pag;Pangasinan;pangasinan
pal;Pahlavi;pahlavi
pam;"Pampanga; Kapampangan";pampangan
pan;"Panjabi; Punjabi";pendjabi
pap;Papiamento;papiamento
pau;Palauan;palau
peo;Persian, Old (ca.600-400 B.C.);perse, vieux (ca. 600-400 av. J.-C.)
phi;Philippine languages;philippines, langues
phn;Phoenician;phénicien
pli;Pali;pali
pol;Polish;polonais
pon;Pohnpeian;pohnpei
por;Portuguese;portugais
pra;Prakrit languages;prâkrit, langues
pro;"Provençal, Old (to 1500); Occitan, Old (to 1500)";"provençal ancien (jusqu'à 1500); occitan ancien (jusqu'à 1500)"
pus;"Pushto; Pashto";pachto
que;Quechua;quechua
raj;Rajasthani;rajasthani
rap;Rapanui;rapanui
rar;"Rarotongan; Cook Islands Maori";"rarotonga; maori des îles Cook"
roa;Romance languages;romanes, langues
roh;Romansh;romanche
rom;Romany;tsigane
ron;"Romanian; Moldavian; Moldovan";"roumain; moldave"
run;Rundi;rundi
rup;"Aromanian; Arumanian; Macedo-Romanian";"aroumain; macédo-roumain"
rus;Russian;russe
sad;Sandawe;sandawe
sag;Sango;sango
sah;Yakut;iakoute
sai;South American Indian languages;sud-amérindiennes, langues
sal;Salishan languages;salishennes, langues
sam;Samaritan Aramaic;samaritain
san;Sanskrit;sanskrit
sas;Sasak;sasak
sat;Santali;santal
scn;Sicilian;sicilien
sco;Scots;écossais
sel;Selkup;selkoupe
sem;Semitic languages;sémitiques, langues
sga;Irish, Old (to 900);irlandais ancien (jusqu'à 900)
sgn;Sign Languages;langues des signes
shn;Shan;chan
sid;Sidamo;sidamo
sin;"Sinhala; Sinhalese";singhalais
sio;Siouan languages;sioux, langues
sit;Sino-Tibetan languages;sino-tibétaines, langues
sla;Slavic languages;slaves, langues
slk;Slovak;slovaque
slv;Slovenian;slovène
sma;Southern Sami;sami du Sud
sme;Northern Sami;sami du Nord
smi;Sami languages;sames, langues
smj;Lule Sami;sami de Lule
smn;Inari Sami;sami d'Inari
smo;Samoan;samoan
sms;Skolt Sami;sami skolt
sna;Shona;shona
snd;Sindhi;sindhi
snk;Soninke;soninké
sog;Sogdian;sogdien
som;Somali;somali
son;Songhai languages;songhai, langues
sot;Sotho, Southern;sotho du Sud
spa;"Spanish; Castilian";"espagnol; castillan"
srd;Sardinian;sarde
srn;Sranan Tongo;sranan tongo
srp;Serbian;serbe
srr;Serer;sérère
ssa;Nilo-Saharan languages;nilo-sahariennes, langues
ssw;Swati;swati
suk;Sukuma;sukuma
sun;Sundanese;soundanais
sus;Susu;soussou
sux;Sumerian;sumérien
swa;Swahili;swahili
swe;Swedish;suédois
syc;Classical Syriac;syriaque classique
syr;Syriac;syriaque
tah;Tahitian;tahitien
tai;Tai languages;tai, langues
tam;Tamil;tamoul
tat;Tatar;tatar
tel;Telugu;télougou
tem;Timne;temne
ter;Tereno;tereno
tet;Tetum;tetum
tgk;Tajik;tadjik
tgl;Tagalog;tagalog
tha;Thai;thaï
tig;Tigre;tigré
tir;Tigrinya;tigrigna
tiv;Tiv;tiv
tkl;Tokelau;tokelau
tlh;"Klingon; tlhIngan-Hol";klingon
tli;Tlingit;tlingit
tmh;Tamashek;tamacheq
tog;Tonga (Nyasa);tonga (Nyasa)
ton;Tonga (Tonga Islands);tongan (Îles Tonga)
tpi;Tok Pisin;tok pisin
tsi;Tsimshian;tsimshian
tsn;Tswana;tswana
tso;Tsonga;tsonga
tuk;Turkmen;turkmène
tum;Tumbuka;tumbuka
tup;Tupi languages;tupi, langues
tur;Turkish;turc
tut;Altaic languages;altaïques, langues
tvl;Tuvalu;tuvalu
twi;Twi;twi
tyv;Tuvinian;touva
udm;Udmurt;oudmourte
uga;Ugaritic;ougaritique
uig;"Uighur; Uyghur";ouïgour
ukr;Ukrainian;ukrainien
umb;Umbundu;umbundu
und;Undetermined;indéterminée
urd;Urdu;ourdou
uzb;Uzbek;ouszbek
vai;Vai;vaï
ven;Venda;venda
vie;Vietnamese;vietnamien
vol;Volapük;volapük
vot;Votic;vote
wak;Wakashan languages;wakashanes, langues
wal;"Wolaitta; Wolaytta";"wolaitta; wolaytta"
war;Waray;waray
was;Washo;washo
wen;Sorbian languages;sorabes, langues
wln;Walloon;wallon
wol;Wolof;wolof
xal;"Kalmyk; Oirat";"kalmouk; oïrat"
xho;Xhosa;xhosa
yao;Yao;yao
yap;Yapese;yapois
yid;Yiddish;yiddish
yor;Yoruba;yoruba
ypk;Yupik languages;yupik, langues
zap;Zapotec;zapotèque
zbl;"Blissymbols; Blissymbolics; Bliss";"symboles Bliss; Bliss"
zen;Zenaga;zenaga
zgh;Standard Moroccan Tamazight;amazighe standard marocain
zha;"Zhuang; Chuang";"zhuang; chuang"
znd;Zande languages;zandé, langues
zul;Zulu;zoulou
zun;Zuni;zuni
zxx;"No linguistic content; Not applicable";"pas de contenu linguistique; non applicable"
zza;"Zaza; Dimili; Dimli; Kirdki; Kirmanjki; Zazaki";"zaza; dimili; dimli; kirdki; kirmanjki; zazaki"
sqi;Albanian;albanais
hye;Armenian;arménien
eus;Basque;basque
bod;Tibetan;tibétain
mya;Burmese;birman
ces;Czech;tchèque
zho;Chinese;chinois
cym;Welsh;gallois
deu;German;allemand
nld;"Dutch; Flemish";"néerlandais; flamand"
ell;Greek, Modern (1453-);grec moderne (après 1453)
fas;Persian;persan
fra;French;français
kat;Georgian;géorgien
isl;Icelandic;islandais
mkd;Macedonian;macédonien
mri;Maori;maori
msa;Malay;malais
ron;"Romanian; Moldavian; Moldovan";"roumain; moldave"
slk;Slovak;slovaque